date,propInfectedMedian,propInfectedLB,propInfectedUB
2020-03-16,0.016892004504827945,0.015423539773096394,0.018422756726271257
2020-03-17,0.021959605856276328,0.020050601705025314,0.023949583744152632
2020-03-18,0.02449340653200052,0.022364132670989773,0.026712997253093323
2020-03-19,0.02702720720772471,0.02467766363695423,0.02947641076203401
2020-03-20,0.03209480855917309,0.02930472556888315,0.03500323777991539
2020-03-21,0.03293940878441449,0.03007590255753797,0.03592437561622895
2020-03-22,0.03631780968538008,0.03316061051215725,0.0396089269614832
2020-03-23,0.040540810811587065,0.03701649545543135,0.044214616143051014
2020-03-24,0.04307461148731126,0.039330026421395804,0.0469780296519917
2020-03-25,0.049831413289242434,0.04549944233063436,0.05434713234250021
2020-03-26,0.051520613739725225,0.047041796307944,0.05618940801512733
2020-03-27,0.05574361486593221,0.0508976812512181,0.060795097196695146
2020-03-28,0.0608112162173806,0.05552474318314702,0.06632192421457653
2020-03-29,0.06587881756882898,0.06015180511507594,0.0718487512324579
2020-03-30,0.07516942004648434,0.06863475199027895,0.08198126743190709
2020-03-31,0.08446002252413971,0.07711769886548198,0.09211378363135628
2020-04-01,0.0903722241008295,0.08251593778606571,0.09856174848555123
2020-04-02,0.09459522522703648,0.08637182272933981,0.10316743766711904
2020-04-03,0.10388582770469186,0.09485476960454282,0.11329995386656823
2020-04-04,0.10979802928138163,0.10025300852512657,0.11974791872076317
2020-04-05,0.1182440315337956,0.10796477841167476,0.1289592970838988
2020-04-06,0.1216224324347612,0.11104948636629404,0.13264384842915306
2020-04-07,0.12584543356096817,0.11490537130956814,0.13724953761072087
2020-04-08,0.13260223536289936,0.1210747872188067,0.14461864030122937
2020-04-09,0.14189283784055473,0.12955773409400972,0.15475115650067855
2020-04-10,0.1503388400929687,0.1372695039805579,0.16396253486381418
2020-04-11,0.15962944257062406,0.14575245085576094,0.17409505106326337
2020-04-12,0.16892004504827943,0.15423539773096395,0.18422756726271255
2020-04-13,0.1815890484269004,0.16580305256078623,0.19804463480741602
2020-04-14,0.19256885135503857,0.1758283534132989,0.21001942667949233
2020-04-15,0.2094608558598665,0.1912518931863953,0.22844218340576358
2020-04-16,0.22719746058993584,0.2074466099481465,0.2477860779683484
2020-04-17,0.2390218637433154,0.21824308778931398,0.26068200767673827
2020-04-18,0.25675846847338474,0.2344378045510652,0.2800259022393231
2020-04-19,0.2668936711762815,0.24369192841492304,0.29107955627508586
2020-04-20,0.27871807432966106,0.25448840625609054,0.30397548598347574
2020-04-21,0.3032114808616616,0.2768525389270803,0.3306884832365691
2020-04-22,0.3277048873936621,0.2992166715980701,0.35740148048966236
2020-04-23,0.34797529279945566,0.3177249193257857,0.37950878856118786
2020-04-24,0.37669170045766315,0.3439449369400496,0.41082747499584904
2020-04-25,0.3944283051877325,0.3601396537018008,0.4301713695584338
2020-04-26,0.43243531532359536,0.3948426181912677,0.47162257219254416
2020-04-27,0.45777332208083726,0.4179779278509123,0.49925670728195104
2020-04-28,0.49493573199145874,0.45190971535172436,0.5397867720797478
2020-04-29,0.529564341226356,0.483527971886572,0.5775534233686039
2020-04-30,0.5709497522631845,0.5213156443306581,0.6226891773479685
2020-05-01,0.6157135642009786,0.5621880247293636,0.6715094826725873
2020-05-02,0.6630111768144968,0.6053739360940334,0.7230932015061469
2020-05-03,0.7010181869503597,0.6400769005835004,0.7645444041402572
2020-05-04,0.7474711993386365,0.6824916349595155,0.8152069851375031
2020-05-05,0.8074378153307757,0.7372452011540077,0.8806077715157661
2020-05-06,0.8741612331248461,0.7981681832577384,0.9533776605845375
2020-05-07,0.935817049567468,0.8544641034295403,1.0206207226354276
2020-05-08,0.986493063081952,0.9007347227488295,1.0758889928142414
2020-05-09,1.0413920777226426,0.9508612270113928,1.1357629521746229
2020-05-10,1.1106492961924372,1.014097740081088,1.2112962547523352
2020-05-11,1.1773727139865078,1.0750207221848187,1.2840661438211065
2020-05-12,1.26943413853782,1.1590790139481941,1.384470167979285
2020-05-13,1.3538941610619597,1.236196712813676,1.4765839516106412
2020-05-14,1.4282189808832026,1.3040602878153003,1.5576440812062347
2020-05-15,1.5321048085878946,1.398915057419843,1.6709440350728029
2020-05-16,1.6250108333644482,1.4837445261718731,1.7722691970672948
2020-05-17,1.720450658816726,1.5708875258898678,1.8763577725707274
2020-05-18,1.824336486521418,1.6657422954944106,1.9896577264372957
2020-05-19,1.9273777140008683,1.7598258881102986,2.1020365424675505
2020-05-20,2.0490001464356298,1.8708753744765927,2.2346803908967035
2020-05-21,2.143595371662666,1.9572471972059324,2.3378478285638224
2020-05-22,2.2508596002683237,2.0551866747650944,2.454832333775645
2020-05-23,2.347144025945843,2.1431008514717442,2.559842047115391
2020-05-24,2.4468068525243276,2.234099736133013,2.6685363118003913
2020-05-25,2.554071081129985,2.332039213692175,2.785520817012214
2020-05-26,2.6604907095104013,2.429207514262682,2.901584184387723
2020-05-27,2.7947821453237833,2.5518246554587987,3.048045100361579
2020-05-28,2.908803175731372,2.6559335489271994,3.1723987082639105
2020-05-29,3.027891807490409,2.7646695043275287,3.3022791431841227
2020-05-30,3.153737241051377,2.879574875637097,3.4395286807948438
2020-05-31,3.2762042737113797,2.991395538992046,3.57309366706031
2020-06-01,3.419786312002417,3.122495627063365,3.7296870992336157
2020-06-02,3.5430979448876614,3.2350874674069687,3.864173223335396
2020-06-03,3.672321779349595,3.353077546671156,4.005107312291371
2020-06-04,3.819282218541598,3.487262342697095,4.165385295809931
2020-06-05,3.954418254580222,3.610650660881866,4.312767349620101
